path	# lines of code
doc/cookstour/cookstour.htm	650
doc/ReleaseNotes4.10.html	75
doc/ReleaseNotes4.11.html	85
doc/ReleaseNotes4.4.html	212
doc/ReleaseNotes4.5.html	261
doc/ReleaseNotes4.6.html	83
doc/ReleaseNotes4.7.html	170
doc/ReleaseNotes4.8.1.html	6
doc/ReleaseNotes4.8.2.html	7
doc/ReleaseNotes4.8.html	46
doc/ReleaseNotes4.9.html	72
epl-v10.html	216
src/main/java/junit/extensions/ActiveTestSuite.java	52
src/main/java/junit/extensions/package-info.java	1
src/main/java/junit/extensions/RepeatedTest.java	30
src/main/java/junit/extensions/TestDecorator.java	27
src/main/java/junit/extensions/TestSetup.java	24
src/main/java/junit/framework/Assert.java	161
src/main/java/junit/framework/AssertionFailedError.java	12
src/main/java/junit/framework/ComparisonCompactor.java	66
src/main/java/junit/framework/ComparisonFailure.java	22
src/main/java/junit/framework/JUnit4TestAdapter.java	72
src/main/java/junit/framework/JUnit4TestAdapterCache.java	66
src/main/java/junit/framework/JUnit4TestCaseFacade.java	23
src/main/java/junit/framework/package-info.java	1
src/main/java/junit/framework/Protectable.java	4
src/main/java/junit/framework/Test.java	5
src/main/java/junit/framework/TestCase.java	193
src/main/java/junit/framework/TestFailure.java	29
src/main/java/junit/framework/TestListener.java	7
src/main/java/junit/framework/TestResult.java	101
src/main/java/junit/framework/TestSuite.java	176
src/main/java/junit/runner/BaseTestRunner.java	241
src/main/java/junit/runner/package-info.java	1
src/main/java/junit/runner/TestRunListener.java	11
src/main/java/junit/runner/Version.java	11
src/main/java/junit/textui/package-info.java	1
src/main/java/junit/textui/ResultPrinter.java	93
src/main/java/junit/textui/TestRunner.java	127
src/main/java/org/junit/After.java	9
src/main/java/org/junit/AfterClass.java	9
src/main/java/org/junit/Assert.java	359
src/main/java/org/junit/Assume.java	44
src/main/java/org/junit/AssumptionViolatedException.java	18
src/main/java/org/junit/Before.java	9
src/main/java/org/junit/BeforeClass.java	9
src/main/java/org/junit/ClassRule.java	10
src/main/java/org/junit/ComparisonFailure.java	98
src/main/java/org/junit/experimental/categories/Categories.java	220
src/main/java/org/junit/experimental/categories/Category.java	11
src/main/java/org/junit/experimental/categories/CategoryFilterFactory.java	25
src/main/java/org/junit/experimental/categories/CategoryValidator.java	38
src/main/java/org/junit/experimental/categories/ExcludeCategories.java	24
src/main/java/org/junit/experimental/categories/IncludeCategories.java	24
src/main/java/org/junit/experimental/max/CouldNotReadCoreException.java	7
src/main/java/org/junit/experimental/max/MaxCore.java	110
src/main/java/org/junit/experimental/max/MaxHistory.java	127
src/main/java/org/junit/experimental/ParallelComputer.java	55
src/main/java/org/junit/experimental/results/FailureList.java	23
src/main/java/org/junit/experimental/results/PrintableResult.java	36
src/main/java/org/junit/experimental/results/ResultMatchers.java	57
src/main/java/org/junit/experimental/runners/Enclosed.java	20
src/main/java/org/junit/experimental/theories/DataPoint.java	12
