Metric		Current
TOTAL_NUMBER_OF_FILES		620
NUMBER_OF_FILES_MAIN		242
LINES_OF_CODE_MAIN		13,460
NUMBER_OF_FILES_MAIN_EXT_JAVA		219
LINES_OF_CODE_MAIN_EXT_JAVA		10,834
NUMBER_OF_FILES_MAIN_EXT_HTML		11
LINES_OF_CODE_MAIN_EXT_HTML		1,233
NUMBER_OF_FILES_MAIN_EXT_HTM		1
LINES_OF_CODE_MAIN_EXT_HTM		650
NUMBER_OF_FILES_MAIN_EXT_XHTML		5
LINES_OF_CODE_MAIN_EXT_XHTML		463
NUMBER_OF_FILES_MAIN_EXT_XML		2
LINES_OF_CODE_MAIN_EXT_XML		187
NUMBER_OF_FILES_MAIN_EXT_CSS		3
LINES_OF_CODE_MAIN_EXT_CSS		82
NUMBER_OF_FILES_MAIN_EXT_JS		1
LINES_OF_CODE_MAIN_EXT_JS		11
NUMBER_OF_FILES_TEST		238
LINES_OF_CODE_TEST		20,271
NUMBER_OF_FILES_TEST_EXT_JAVA		237
LINES_OF_CODE_TEST_EXT_JAVA		19,689
NUMBER_OF_FILES_TEST_EXT_HTM		1
LINES_OF_CODE_TEST_EXT_HTM		582
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		150.6
NUMBER_OF_FILES_GENERATED		0
LINES_OF_CODE_GENERATED		0
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		2
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		610
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT_EXT_XML		1
LINES_OF_CODE_BUILD_AND_DEPLOYMENT_EXT_XML		609
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT_EXT_SH		1
LINES_OF_CODE_BUILD_AND_DEPLOYMENT_EXT_SH		1
NUMBER_OF_FILES_OTHER		53
LINES_OF_CODE_OTHER		2,937
NUMBER_OF_FILES_OTHER_EXT_MD		19
LINES_OF_CODE_OTHER_EXT_MD		1,654
NUMBER_OF_FILES_OTHER_EXT_JAVA		15
LINES_OF_CODE_OTHER_EXT_JAVA		709
NUMBER_OF_FILES_OTHER_EXT_TXT		18
LINES_OF_CODE_OTHER_EXT_TXT		521
NUMBER_OF_FILES_OTHER_EXT_SVG		1
LINES_OF_CODE_OTHER_EXT_SVG		53
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_DOC		11
LINES_OF_CODE_DECOMPOSITION_PRIMARY_DOC		1,667
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_DOC_EXT_HTML		10
LINES_OF_CODE_DECOMPOSITION_PRIMARY_DOC_EXT_HTML		1,017
