Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		7,165
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		575
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		51
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_NEGLIGIBLE_RISK_LOC		7,165
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_LOW_RISK_LOC		575
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_MEDIUM_RISK_LOC		51
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_LOC		7,154
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_LOC		575
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_LOC		51
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		11
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
